Word^Part_of_Speach^Definition^Example^add_Date
one^verb^To cause to become one; to gather into a single whole; to unite.^^01|Dec|23
two^noun^The digit/figure 2.^The number 2202 contains three twos.^01|Dec|23
three^noun^The digit/figure 3.^ ^01|Dec|23
four^noun^The digit or figure 4; an occurrence thereof.^ ^01|Dec|23
five^noun^The digit/figure 5.^He wrote a five followed by four zeroes.^01|Dec|23
six^noun^The digit or figure 6.^ ^01|Dec|23
seven^noun^The digit/figure 7 or an occurrence thereof.^He wrote three sevens on the paper.^01|Dec|23
eight^noun^The digit/figure 8.^ ^01|Dec|23
nine^noun^The digit or figure 9.^ ^01|Dec|23
ten^noun^A set or group with ten elements.^We divided the chocolates into tens to hand out to Hallowe'en visitors.^01|Dec|23
